Year,Month,Fuel Type,Quantity,UNIT
1994,June,Hydro Electricity,197.665,GWh
1994,June,Fuel Oil,1636.891,GWh
1994,June,Coal & Lignite,1383.009,GWh
1994,June,Natural Gas,2628.598,GWh
1994,June,Diesel,155.773,GWh
1994,June,Imported,60.647,GWh
1994,June,Renewable Energy,1.979,GWh
1994,July,Hydro Electricity,204.278,GWh
1994,July,Fuel Oil,1576.329,GWh
1994,July,Coal & Lignite,1439.127,GWh
1994,July,Natural Gas,2712.596,GWh
1994,July,Diesel,62.691,GWh
1994,July,Imported,103.992,GWh
1994,July,Renewable Energy,3.269,GWh
1994,August,Hydro Electricity,374.321,GWh
1994,August,Fuel Oil,1542.95,GWh
1994,August,Coal & Lignite,1304.278,GWh
1994,August,Natural Gas,2712.51,GWh
1994,August,Diesel,114.696,GWh
1994,August,Imported,116.486,GWh
1994,August,Renewable Energy,7.244,GWh
1994,September,Hydro Electricity,525.312,GWh
1994,September,Fuel Oil,1615.872,GWh
1994,September,Coal & Lignite,1228.281,GWh
1994,September,Natural Gas,2625.924,GWh
1994,September,Diesel,52.799,GWh
1994,September,Imported,120.688,GWh
1994,September,Renewable Energy,9.2714,GWh
1994,October,Hydro Electricity,507.186,GWh
1994,October,Fuel Oil,1665.935,GWh
1994,October,Coal & Lignite,1051.375,GWh
1994,October,Natural Gas,2776.361,GWh
1994,October,Diesel,56.494,GWh
1994,October,Imported,113.87,GWh
1994,October,Renewable Energy,4.71,GWh
1994,November,Hydro Electricity,625.504,GWh
1994,November,Fuel Oil,1759.012,GWh
1994,November,Coal & Lignite,845.265,GWh
1994,November,Natural Gas,2714.084,GWh
1994,November,Diesel,114.664,GWh
1994,November,Imported,64.505,GWh
1994,November,Renewable Energy,1.77908,GWh
1994,December,Hydro Electricity,522.774,GWh
1994,December,Fuel Oil,1737.266,GWh
1994,December,Coal & Lignite,844.06,GWh
1994,December,Natural Gas,2777.994,GWh
1994,December,Diesel,151.859,GWh
1994,December,Imported,60.388,GWh
1994,December,Renewable Energy,8.66052,GWh
1995,January,Hydro Electricity,445.311,GWh
1995,January,Fuel Oil,1800.687,GWh
1995,January,Coal & Lignite,854.997,GWh
1995,January,Natural Gas,2749.659,GWh
1995,January,Diesel,107.733,GWh
1995,January,Imported,44.81,GWh
1995,January,Renewable Energy,10.78802,GWh
1995,February,Hydro Electricity,544.458,GWh
1995,February,Fuel Oil,1720.765,GWh
1995,February,Coal & Lignite,874.842,GWh
1995,February,Natural Gas,2486.585,GWh
1995,February,Diesel,67.868,GWh
1995,February,Imported,46.852,GWh
1995,February,Renewable Energy,17.5996,GWh
1995,March,Hydro Electricity,742.33,GWh
1995,March,Fuel Oil,2136.12,GWh
1995,March,Coal & Lignite,1246.389,GWh
1995,March,Natural Gas,2833.769,GWh
1995,March,Diesel,90.683,GWh
1995,March,Imported,40.29,GWh
1995,March,Renewable Energy,18.46088,GWh
1995,April,Hydro Electricity,597.263,GWh
1995,April,Fuel Oil,1944.334,GWh
1995,April,Coal & Lignite,1358.165,GWh
1995,April,Natural Gas,2643.776,GWh
1995,April,Diesel,104.32,GWh
1995,April,Imported,38.78,GWh
1995,April,Renewable Energy,18.42652,GWh
1995,May,Hydro Electricity,611.279,GWh
1995,May,Fuel Oil,2101.789,GWh
1995,May,Coal & Lignite,1386.826,GWh
1995,May,Natural Gas,2777.014,GWh
1995,May,Diesel,199.434,GWh
1995,May,Imported,39.004,GWh
1995,May,Renewable Energy,9.31608,GWh
1995,June,Hydro Electricity,592.064,GWh
1995,June,Fuel Oil,1842.817,GWh
1995,June,Coal & Lignite,1590.92,GWh
1995,June,Natural Gas,2688.568,GWh
1995,June,Diesel,247.148,GWh
1995,June,Imported,41.035,GWh
1995,June,Renewable Energy,11.75248,GWh
1995,July,Hydro Electricity,389.964,GWh
1995,July,Fuel Oil,1613.707,GWh
1995,July,Coal & Lignite,1688.384,GWh
1995,July,Natural Gas,2953.92835,GWh
1995,July,Diesel,257.503,GWh
1995,July,Imported,54.341,GWh
1995,July,Renewable Energy,10.2754,GWh
1995,August,Hydro Electricity,507.521,GWh
1995,August,Fuel Oil,1461.3,GWh
1995,August,Coal & Lignite,1539.60556,GWh
1995,August,Natural Gas,3087.4491,GWh
1995,August,Diesel,310.037,GWh
1995,August,Imported,93.07,GWh
1995,August,Renewable Energy,16.476,GWh
1995,September,Hydro Electricity,598.929,GWh
1995,September,Fuel Oil,1592.674,GWh
1995,September,Coal & Lignite,1263.48024,GWh
1995,September,Natural Gas,2959.2358,GWh
1995,September,Diesel,236.87,GWh
1995,September,Imported,104.83,GWh
1995,September,Renewable Energy,11.0682,GWh
1995,October,Hydro Electricity,577.047,GWh
1995,October,Fuel Oil,1870.02,GWh
1995,October,Coal & Lignite,1087.69932,GWh
1995,October,Natural Gas,3065.1877,GWh
1995,October,Diesel,238.444,GWh
1995,October,Imported,83.298,GWh
1995,October,Renewable Energy,5.3996,GWh
1995,November,Hydro Electricity,593.439,GWh
1995,November,Fuel Oil,1805.39,GWh
1995,November,Coal & Lignite,1113.30812,GWh
1995,November,Natural Gas,2818.1495,GWh
1995,November,Diesel,270.311,GWh
1995,November,Imported,57.684,GWh
1995,November,Renewable Energy,2.2406,GWh
1995,December,Hydro Electricity,393.406,GWh
1995,December,Fuel Oil,1822.287,GWh
1995,December,Coal & Lignite,1160.4964,GWh
1995,December,Natural Gas,2799.9408,GWh
1995,December,Diesel,130.829,GWh
1995,December,Imported,55.127,GWh
1995,December,Renewable Energy,10.94568,GWh
1996,January,Hydro Electricity,544.692,GWh
1996,January,Fuel Oil,1980.691,GWh
1996,January,Coal & Lignite,1186.68312,GWh
1996,January,Natural Gas,2746.8602,GWh
1996,January,Diesel,195.679,GWh
1996,January,Imported,40.475,GWh
1996,January,Renewable Energy,18.7005,GWh
1996,February,Hydro Electricity,635.918,GWh
1996,February,Fuel Oil,1879.178,GWh
1996,February,Coal & Lignite,1211.0552,GWh
1996,February,Natural Gas,2504.4673,GWh
1996,February,Diesel,135.025,GWh
1996,February,Imported,43.774,GWh
1996,February,Renewable Energy,19.7541,GWh
1996,March,Hydro Electricity,831.624,GWh
1996,March,Fuel Oil,2093.849,GWh
1996,March,Coal & Lignite,1473.92404,GWh
1996,March,Natural Gas,2882.4945,GWh
1996,March,Diesel,312.268,GWh
1996,March,Imported,35.377,GWh
1996,March,Renewable Energy,21.40618,GWh
1996,April,Hydro Electricity,688.477,GWh
1996,April,Fuel Oil,1982.105,GWh
1996,April,Coal & Lignite,1521.319,GWh
1996,April,Natural Gas,2850.2997,GWh
1996,April,Diesel,210.723,GWh
1996,April,Imported,33.807,GWh
1996,April,Renewable Energy,15.96016,GWh
1996,May,Hydro Electricity,641.186,GWh
1996,May,Fuel Oil,2066.306,GWh
1996,May,Coal & Lignite,1491.27748,GWh
1996,May,Natural Gas,3090.87075,GWh
1996,May,Diesel,339.987,GWh
1996,May,Imported,38.915,GWh
1996,May,Renewable Energy,17.1016,GWh
1996,June,Hydro Electricity,637.305,GWh
1996,June,Fuel Oil,1798.401,GWh
1996,June,Coal & Lignite,1599.33032,GWh
1996,June,Natural Gas,2871.87545,GWh
1996,June,Diesel,443.943,GWh
1996,June,Imported,54.63,GWh
1996,June,Renewable Energy,17.42016,GWh
1996,July,Hydro Electricity,505.823,GWh
1996,July,Fuel Oil,1648.37,GWh
1996,July,Coal & Lignite,1814.84972,GWh
1996,July,Natural Gas,3106.67725,GWh
1996,July,Diesel,493.731,GWh
1996,July,Imported,64.617,GWh
1996,July,Renewable Energy,16.57594,GWh
1996,August,Hydro Electricity,612.149,GWh
1996,August,Fuel Oil,1831.335,GWh
1996,August,Coal & Lignite,1756.50184,GWh
1996,August,Natural Gas,2963.5681,GWh
1996,August,Diesel,430.404,GWh
1996,August,Imported,99.189,GWh
1996,August,Renewable Energy,21.6085,GWh
1996,September,Hydro Electricity,572.704,GWh
1996,September,Fuel Oil,1733.358,GWh
1996,September,Coal & Lignite,1360.37736,GWh
1996,September,Natural Gas,3068.96465,GWh
1996,September,Diesel,526.615,GWh
1996,September,Imported,114.069,GWh
1996,September,Renewable Energy,16.0012,GWh
1996,October,Hydro Electricity,492.479,GWh
1996,October,Fuel Oil,1524.378,GWh
1996,October,Coal & Lignite,1364.7144,GWh
1996,October,Natural Gas,3592.59605,GWh
1996,October,Diesel,573.924,GWh
1996,October,Imported,113.679,GWh
1996,October,Renewable Energy,8.70772,GWh
1996,November,Hydro Electricity,628.69,GWh
1996,November,Fuel Oil,1221.484,GWh
1996,November,Coal & Lignite,1402.29956,GWh
1996,November,Natural Gas,3457.064,GWh
1996,November,Diesel,525.643,GWh
1996,November,Imported,81.433,GWh
1996,November,Renewable Energy,11.78864,GWh
1996,December,Hydro Electricity,423.955,GWh
1996,December,Fuel Oil,1224.276,GWh
1996,December,Coal & Lignite,1397.74,GWh
1996,December,Natural Gas,3297.60625,GWh
1996,December,Diesel,384.421,GWh
1996,December,Imported,85.641,GWh
1996,December,Renewable Energy,22.09611,GWh
1997,January,Hydro Electricity,505.833,GWh
1997,January,Fuel Oil,1412.28,GWh
1997,January,Coal & Lignite,1377.19978,GWh
1997,January,Natural Gas,3471.69055,GWh
1997,January,Diesel,300.422,GWh
1997,January,Imported,45.756,GWh
1997,January,Renewable Energy,26.20292,GWh
1997,February,Hydro Electricity,635.524,GWh
1997,February,Fuel Oil,1357.856,GWh
1997,February,Coal & Lignite,1471.31401,GWh
1997,February,Natural Gas,3221.88768,GWh
1997,February,Diesel,240.948,GWh
1997,February,Imported,40.476,GWh
1997,February,Renewable Energy,19.4391,GWh
1997,March,Hydro Electricity,770.979,GWh
1997,March,Fuel Oil,1826.188,GWh
1997,March,Coal & Lignite,1835.72142,GWh
1997,March,Natural Gas,3557.35735,GWh
1997,March,Diesel,247.633,GWh
1997,March,Imported,32.406,GWh
1997,March,Renewable Energy,25.5433,GWh
1997,April,Hydro Electricity,645.554,GWh
1997,April,Fuel Oil,1718.265,GWh
1997,April,Coal & Lignite,1613.63759,GWh
1997,April,Natural Gas,3445.04517,GWh
1997,April,Diesel,161.372,GWh
1997,April,Imported,43.659,GWh
1997,April,Renewable Energy,29.67434,GWh
1997,May,Hydro Electricity,704.518,GWh
1997,May,Fuel Oil,2011.486,GWh
1997,May,Coal & Lignite,1641.97898,GWh
1997,May,Natural Gas,3788.38471,GWh
1997,May,Diesel,325.471,GWh
1997,May,Imported,44.016,GWh
1997,May,Renewable Energy,29.06714,GWh
1997,June,Hydro Electricity,578.613,GWh
1997,June,Fuel Oil,1947.64,GWh
1997,June,Coal & Lignite,1797.56853,GWh
1997,June,Natural Gas,3704.68559,GWh
1997,June,Diesel,234.094,GWh
1997,June,Imported,42.257,GWh
1997,June,Renewable Energy,18.972988,GWh
1997,July,Hydro Electricity,546.704,GWh
1997,July,Fuel Oil,1639.275,GWh
1997,July,Coal & Lignite,1875.08213,GWh
1997,July,Natural Gas,3916.66188,GWh
1997,July,Diesel,124.928,GWh
1997,July,Imported,69.28,GWh
1997,July,Renewable Energy,15.4923,GWh
1997,August,Hydro Electricity,584.115,GWh
1997,August,Fuel Oil,1622.804,GWh
1997,August,Coal & Lignite,1703.44314,GWh
1997,August,Natural Gas,3895.52004,GWh
1997,August,Diesel,112.3,GWh
1997,August,Imported,99.792,GWh
1997,August,Renewable Energy,22.555948,GWh
1997,September,Hydro Electricity,538.505,GWh
1997,September,Fuel Oil,1590.941776,GWh
1997,September,Coal & Lignite,1421.17333,GWh
1997,September,Natural Gas,3798.52487,GWh
1997,September,Diesel,241.149,GWh
1997,September,Imported,104.663,GWh
1997,September,Renewable Energy,17.606992,GWh
1997,October,Hydro Electricity,591.512,GWh
1997,October,Fuel Oil,1502.576686,GWh
1997,October,Coal & Lignite,1511.31932,GWh
1997,October,Natural Gas,3925.75185,GWh
1997,October,Diesel,195.707,GWh
1997,October,Imported,105.172,GWh
1997,October,Renewable Energy,15.40175,GWh
1997,November,Hydro Electricity,470.883,GWh
1997,November,Fuel Oil,1431.752107,GWh
1997,November,Coal & Lignite,1368.60144,GWh
1997,November,Natural Gas,3921.23666,GWh
1997,November,Diesel,72.304,GWh
1997,November,Imported,66.286,GWh
1997,November,Renewable Energy,11.80202,GWh
1997,December,Hydro Electricity,509.26,GWh
1997,December,Fuel Oil,1219.868638,GWh
1997,December,Coal & Lignite,1408.75482,GWh
1997,December,Natural Gas,3926.927282,GWh
1997,December,Diesel,184.351,GWh
1997,December,Imported,51.865,GWh
1997,December,Renewable Energy,26.92126,GWh
1998,January,Hydro Electricity,522.061,GWh
1998,January,Fuel Oil,1245.272596,GWh
1998,January,Coal & Lignite,1342.81084,GWh
1998,January,Natural Gas,3887.49691,GWh
1998,January,Diesel,124.323,GWh
1998,January,Imported,71.987,GWh
1998,January,Renewable Energy,33.191013,GWh
1998,February,Hydro Electricity,539.197,GWh
1998,February,Fuel Oil,1437.814673,GWh
1998,February,Coal & Lignite,1324.38092,GWh
1998,February,Natural Gas,3774.14586,GWh
1998,February,Diesel,14.355,GWh
1998,February,Imported,102.902,GWh
1998,February,Renewable Energy,28.482591,GWh
1998,March,Hydro Electricity,726.376,GWh
1998,March,Fuel Oil,1682.132124,GWh
1998,March,Coal & Lignite,1476.96308,GWh
1998,March,Natural Gas,4265.98591,GWh
1998,March,Diesel,43.817,GWh
1998,March,Imported,87.181,GWh
1998,March,Renewable Energy,49.21778,GWh
1998,April,Hydro Electricity,675.033,GWh
1998,April,Fuel Oil,1794.647959,GWh
1998,April,Coal & Lignite,1519.53292,GWh
1998,April,Natural Gas,3585.3766,GWh
1998,April,Diesel,125.444,GWh
1998,April,Imported,92.214,GWh
1998,April,Renewable Energy,34.56264,GWh
1998,May,Hydro Electricity,512.948,GWh
1998,May,Fuel Oil,1979.98062,GWh
1998,May,Coal & Lignite,1396.89958,GWh
1998,May,Natural Gas,4123.09792,GWh
1998,May,Diesel,111.806,GWh
1998,May,Imported,101.403,GWh
1998,May,Renewable Energy,17.73128,GWh
1998,June,Hydro Electricity,387.07,GWh
1998,June,Fuel Oil,1740.528649,GWh
1998,June,Coal & Lignite,1541.908,GWh
1998,June,Natural Gas,3934.37737,GWh
1998,June,Diesel,52.932,GWh
1998,June,Imported,181.123,GWh
1998,June,Renewable Energy,13.61436,GWh
1998,July,Hydro Electricity,306.634,GWh
1998,July,Fuel Oil,1626.94354,GWh
1998,July,Coal & Lignite,1499.2509,GWh
1998,July,Natural Gas,4153.31845,GWh
1998,July,Diesel,17.991,GWh
1998,July,Imported,197.53,GWh
1998,July,Renewable Energy,11.52208,GWh
1998,August,Hydro Electricity,361.877,GWh
1998,August,Fuel Oil,1224.972062,GWh
1998,August,Coal & Lignite,1439.9383,GWh
1998,August,Natural Gas,4368.82767,GWh
1998,August,Diesel,78.895,GWh
1998,August,Imported,151.91,GWh
1998,August,Renewable Energy,15.26454,GWh
1998,September,Hydro Electricity,279.023,GWh
1998,September,Fuel Oil,1440.942676,GWh
1998,September,Coal & Lignite,1104.55798,GWh
1998,September,Natural Gas,4349.52472,GWh
1998,September,Diesel,82.686,GWh
1998,September,Imported,191.391,GWh
1998,September,Renewable Energy,12.81254,GWh
1998,October,Hydro Electricity,274.348,GWh
1998,October,Fuel Oil,1182.309044,GWh
1998,October,Coal & Lignite,1329.01189,GWh
1998,October,Natural Gas,4412.85913,GWh
1998,October,Diesel,202.537,GWh
1998,October,Imported,174.336,GWh
1998,October,Renewable Energy,15.30354,GWh
1998,November,Hydro Electricity,305.488,GWh
1998,November,Fuel Oil,1116.164496,GWh
1998,November,Coal & Lignite,1280.16953,GWh
1998,November,Natural Gas,4151.08063,GWh
1998,November,Diesel,105.26,GWh
1998,November,Imported,130.025,GWh
1998,November,Renewable Energy,16.77252,GWh
1998,December,Hydro Electricity,198.767,GWh
1998,December,Fuel Oil,1100.809232,GWh
1998,December,Coal & Lignite,1335.05428,GWh
1998,December,Natural Gas,4015.036803,GWh
1998,December,Diesel,28.927,GWh
1998,December,Imported,140.71,GWh
1998,December,Renewable Energy,22.61854,GWh
1999,January,Hydro Electricity,249.82,GWh
1999,January,Fuel Oil,1106.182976,GWh
1999,January,Coal & Lignite,1424.91954,GWh
1999,January,Natural Gas,4080.215313,GWh
1999,January,Diesel,16.786,GWh
1999,January,Imported,102.681,GWh
1999,January,Renewable Energy,40.81398,GWh
1999,February,Hydro Electricity,311.838,GWh
1999,February,Fuel Oil,1003.359664,GWh
1999,February,Coal & Lignite,1368.60381,GWh
1999,February,Natural Gas,3924.79108,GWh
1999,February,Diesel,18.388,GWh
1999,February,Imported,63.178,GWh
1999,February,Renewable Energy,34.25344,GWh
1999,March,Hydro Electricity,435.195,GWh
1999,March,Fuel Oil,1472.702304,GWh
1999,March,Coal & Lignite,1473.57948,GWh
1999,March,Natural Gas,4644.89741,GWh
1999,March,Diesel,114.105,GWh
1999,March,Imported,61.91,GWh
1999,March,Renewable Energy,40.33883,GWh
1999,April,Hydro Electricity,329.101,GWh
1999,April,Fuel Oil,1289.483023,GWh
1999,April,Coal & Lignite,1384.330492,GWh
1999,April,Natural Gas,4509.683387,GWh
1999,April,Diesel,74.792,GWh
1999,April,Imported,76.946,GWh
1999,April,Renewable Energy,42.466915,GWh
1999,May,Hydro Electricity,185.616,GWh
1999,May,Fuel Oil,1634.462573,GWh
1999,May,Coal & Lignite,1244.690618,GWh
1999,May,Natural Gas,4717.242386,GWh
1999,May,Diesel,29.307,GWh
1999,May,Imported,177.146,GWh
1999,May,Renewable Energy,38.965096,GWh
1999,June,Hydro Electricity,217.549,GWh
1999,June,Fuel Oil,1578.230613,GWh
1999,June,Coal & Lignite,1232.354888,GWh
1999,June,Natural Gas,4852.835814,GWh
1999,June,Diesel,22.681,GWh
1999,June,Imported,199.057,GWh
1999,June,Renewable Energy,42.886906,GWh
1999,July,Hydro Electricity,279.732,GWh
1999,July,Fuel Oil,1582.970264,GWh
1999,July,Coal & Lignite,1444.56462,GWh
1999,July,Natural Gas,4463.91212,GWh
1999,July,Diesel,66.839,GWh
1999,July,Imported,241.722,GWh
1999,July,Renewable Energy,24.610956,GWh
1999,August,Hydro Electricity,348.832,GWh
1999,August,Fuel Oil,1490.158952,GWh
1999,August,Coal & Lignite,1394.702304,GWh
1999,August,Natural Gas,4457.33482,GWh
1999,August,Diesel,35.449,GWh
1999,August,Imported,258.48,GWh
1999,August,Renewable Energy,29.718095,GWh
1999,September,Hydro Electricity,297.17,GWh
1999,September,Fuel Oil,1408.475024,GWh
1999,September,Coal & Lignite,1473.67584,GWh
1999,September,Natural Gas,4440.555119,GWh
1999,September,Diesel,10.944,GWh
1999,September,Imported,277.656,GWh
1999,September,Renewable Energy,38.357017,GWh
1999,October,Hydro Electricity,242.449,GWh
1999,October,Fuel Oil,1253.5922,GWh
1999,October,Coal & Lignite,1312.15615,GWh
1999,October,Natural Gas,4791.77218,GWh
1999,October,Diesel,30.658,GWh
1999,October,Imported,283.139,GWh
1999,October,Renewable Energy,20.252011,GWh
1999,November,Hydro Electricity,275.303,GWh
1999,November,Fuel Oil,1051.733568,GWh
1999,November,Coal & Lignite,1420.06646,GWh
1999,November,Natural Gas,4622.44683,GWh
1999,November,Diesel,22.179,GWh
1999,November,Imported,262.92,GWh
1999,November,Renewable Energy,21.960249,GWh
1999,December,Hydro Electricity,237.063,GWh
1999,December,Fuel Oil,601.187368,GWh
1999,December,Coal & Lignite,1459.55133,GWh
1999,December,Natural Gas,4298.74817,GWh
1999,December,Diesel,15.201,GWh
1999,December,Imported,250.826,GWh
1999,December,Renewable Energy,29.525263,GWh
2000,January,Hydro Electricity,425.261,GWh
2000,January,Fuel Oil,1173.403304,GWh
2000,January,Coal & Lignite,1146.94567,GWh
2000,January,Natural Gas,4648.67078,GWh
2000,January,Diesel,3.806,GWh
2000,January,Imported,176.639,GWh
2000,January,Renewable Energy,40.651168,GWh
2000,February,Hydro Electricity,566.829,GWh
2000,February,Fuel Oil,862.626624,GWh
2000,February,Coal & Lignite,1241.03464,GWh
2000,February,Natural Gas,4526.928351,GWh
2000,February,Diesel,3.886,GWh
2000,February,Imported,137.867,GWh
2000,February,Renewable Energy,54.039902,GWh
2000,March,Hydro Electricity,659.817,GWh
2000,March,Fuel Oil,1169.23648,GWh
2000,March,Coal & Lignite,1598.30728,GWh
2000,March,Natural Gas,4948.285713,GWh
2000,March,Diesel,4.084,GWh
2000,March,Imported,167.361,GWh
2000,March,Renewable Energy,58.826983,GWh
2000,April,Hydro Electricity,599.123,GWh
2000,April,Fuel Oil,1229.185624,GWh
2000,April,Coal & Lignite,1512.62438,GWh
2000,April,Natural Gas,4420.73473,GWh
2000,April,Diesel,11.179,GWh
2000,April,Imported,192.371,GWh
2000,April,Renewable Energy,44.041526,GWh
2000,May,Hydro Electricity,577.702,GWh
2000,May,Fuel Oil,996.06488,GWh
2000,May,Coal & Lignite,1594.20182,GWh
2000,May,Natural Gas,5198.17426,GWh
2000,May,Diesel,44.217,GWh
2000,May,Imported,294.31,GWh
2000,May,Renewable Energy,45.386629,GWh
2000,June,Hydro Electricity,371.107,GWh
2000,June,Fuel Oil,984.085992,GWh
2000,June,Coal & Lignite,1562.10884,GWh
2000,June,Natural Gas,5198.32109,GWh
2000,June,Diesel,3.41,GWh
2000,June,Imported,267.332,GWh
2000,June,Renewable Energy,34.794015,GWh
2000,July,Hydro Electricity,357.477,GWh
2000,July,Fuel Oil,828.535264,GWh
2000,July,Coal & Lignite,1586.44521,GWh
2000,July,Natural Gas,5341.41618,GWh
2000,July,Diesel,2.761,GWh
2000,July,Imported,301.01,GWh
2000,July,Renewable Energy,34.481311,GWh
2000,August,Hydro Electricity,502.494,GWh
2000,August,Fuel Oil,676.019456,GWh
2000,August,Coal & Lignite,1598.58649,GWh
2000,August,Natural Gas,5393.856992,GWh
2000,August,Diesel,2.344,GWh
2000,August,Imported,320.312,GWh
2000,August,Renewable Energy,45.17533,GWh
2000,September,Hydro Electricity,481.403,GWh
2000,September,Fuel Oil,672.183048,GWh
2000,September,Coal & Lignite,1563.09176,GWh
2000,September,Natural Gas,5237.57235,GWh
2000,September,Diesel,12.061,GWh
2000,September,Imported,336.509,GWh
2000,September,Renewable Energy,21.804566,GWh
2000,October,Hydro Electricity,380.136,GWh
2000,October,Fuel Oil,635.349776,GWh
2000,October,Coal & Lignite,1672.97637,GWh
2000,October,Natural Gas,5474.55431,GWh
2000,October,Diesel,5.072,GWh
2000,October,Imported,298.645,GWh
2000,October,Renewable Energy,28.529666,GWh
2000,November,Hydro Electricity,485.676,GWh
2000,November,Fuel Oil,244.637784,GWh
2000,November,Coal & Lignite,1622.97717,GWh
2000,November,Natural Gas,5172.79987,GWh
2000,November,Diesel,13.264,GWh
2000,November,Imported,246.174,GWh
2000,November,Renewable Energy,34.1656,GWh
2000,December,Hydro Electricity,484.419,GWh
2000,December,Fuel Oil,172.21672,GWh
2000,December,Coal & Lignite,1498.03906,GWh
2000,December,Natural Gas,5533.24424,GWh
2000,December,Diesel,1.864,GWh
2000,December,Imported,227.723,GWh
2000,December,Renewable Energy,52.873843,GWh
2001,January,Hydro Electricity,544.013,GWh
2001,January,Fuel Oil,160.778392,GWh
2001,January,Coal & Lignite,1578.41643,GWh
2001,January,Natural Gas,5560.4985,GWh
2001,January,Diesel,4.154,GWh
2001,January,Imported,206.111,GWh
2001,January,Renewable Energy,71.602523,GWh
2001,February,Hydro Electricity,643.156,GWh
2001,February,Fuel Oil,238.929096,GWh
2001,February,Coal & Lignite,1474.23906,GWh
2001,February,Natural Gas,5342.99356,GWh
2001,February,Diesel,2.787,GWh
2001,February,Imported,158.355,GWh
2001,February,Renewable Energy,66.618838,GWh
2001,March,Hydro Electricity,623.353,GWh
2001,March,Fuel Oil,285.34228,GWh
2001,March,Coal & Lignite,1701.18442,GWh
2001,March,Natural Gas,6064.242045,GWh
2001,March,Diesel,7.552,GWh
2001,March,Imported,171.131,GWh
2001,March,Renewable Energy,74.55174,GWh
2001,April,Hydro Electricity,685.136,GWh
2001,April,Fuel Oil,289.010096,GWh
2001,April,Coal & Lignite,1648.12921,GWh
2001,April,Natural Gas,6151.69431,GWh
2001,April,Diesel,7.561,GWh
2001,April,Imported,138.515,GWh
2001,April,Renewable Energy,61.677974,GWh
2001,May,Hydro Electricity,483.325,GWh
2001,May,Fuel Oil,255.992128,GWh
2001,May,Coal & Lignite,1757.96446,GWh
2001,May,Natural Gas,6333.50064,GWh
2001,May,Diesel,6.923,GWh
2001,May,Imported,205.79,GWh
2001,May,Renewable Energy,46.557671,GWh
2001,June,Hydro Electricity,313.569,GWh
2001,June,Fuel Oil,267.272608,GWh
2001,June,Coal & Lignite,1703.35327,GWh
2001,June,Natural Gas,6285.1374,GWh
2001,June,Diesel,4.822,GWh
2001,June,Imported,279.938,GWh
2001,June,Renewable Energy,43.437147,GWh
2001,July,Hydro Electricity,434.982,GWh
2001,July,Fuel Oil,164.992648,GWh
2001,July,Coal & Lignite,1670.7955,GWh
2001,July,Natural Gas,6363.87015,GWh
2001,July,Diesel,18.952,GWh
2001,July,Imported,318.688,GWh
2001,July,Renewable Energy,41.075559,GWh
2001,August,Hydro Electricity,519.548,GWh
2001,August,Fuel Oil,119.172648,GWh
2001,August,Coal & Lignite,1869.14779,GWh
2001,August,Natural Gas,6115.26375,GWh
2001,August,Diesel,78.048,GWh
2001,August,Imported,316.532,GWh
2001,August,Renewable Energy,39.782731,GWh
2001,September,Hydro Electricity,713.242,GWh
2001,September,Fuel Oil,231.494584,GWh
2001,September,Coal & Lignite,1681.86232,GWh
2001,September,Natural Gas,5854.92609,GWh
2001,September,Diesel,3.464,GWh
2001,September,Imported,312.69,GWh
2001,September,Renewable Energy,35.863613,GWh
2001,October,Hydro Electricity,405.177,GWh
2001,October,Fuel Oil,183.513832,GWh
2001,October,Coal & Lignite,1656.83235,GWh
2001,October,Natural Gas,6267.65499,GWh
2001,October,Diesel,2.125,GWh
2001,October,Imported,302.729,GWh
2001,October,Renewable Energy,28.525146,GWh
2001,November,Hydro Electricity,351.103,GWh
2001,November,Fuel Oil,129.979304,GWh
2001,November,Coal & Lignite,1750.7018,GWh
2001,November,Natural Gas,5505.06672,GWh
2001,November,Diesel,50.212,GWh
2001,November,Imported,257.962,GWh
2001,November,Renewable Energy,27.28815,GWh
2001,December,Hydro Electricity,457.741,GWh
2001,December,Fuel Oil,130.030904,GWh
2001,December,Coal & Lignite,1803.4025,GWh
2001,December,Natural Gas,5383.93116,GWh
2001,December,Diesel,61.463,GWh
2001,December,Imported,213.273,GWh
2001,December,Renewable Energy,47.559227,GWh
2002,January,Hydro Electricity,512.577,GWh
2002,January,Fuel Oil,168.271544,GWh
2002,January,Coal & Lignite,1623.39279,GWh
2002,January,Natural Gas,5689.22297,GWh
2002,January,Diesel,8.204,GWh
2002,January,Imported,190.302,GWh
2002,January,Renewable Energy,71.802924,GWh
2002,February,Hydro Electricity,588.929,GWh
2002,February,Fuel Oil,138.011848,GWh
2002,February,Coal & Lignite,1552.04965,GWh
2002,February,Natural Gas,5683.19541,GWh
2002,February,Diesel,8.296,GWh
2002,February,Imported,149.192,GWh
2002,February,Renewable Energy,68.277408,GWh
2002,March,Hydro Electricity,797.977,GWh
2002,March,Fuel Oil,218.26056,GWh
2002,March,Coal & Lignite,1775.31055,GWh
2002,March,Natural Gas,6674.43073,GWh
2002,March,Diesel,5.007,GWh
2002,March,Imported,146.5,GWh
2002,March,Renewable Energy,69.627113,GWh
2002,April,Hydro Electricity,718.75,GWh
2002,April,Fuel Oil,250.780328,GWh
2002,April,Coal & Lignite,1772.49563,GWh
2002,April,Natural Gas,6399.17806,GWh
2002,April,Diesel,3.39,GWh
2002,April,Imported,163.458,GWh
2002,April,Renewable Energy,70.304774,GWh
2002,May,Hydro Electricity,602.437,GWh
